plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
8119, 5114, 80.0, 24.5, 211, 6, 6, 29452.2734, 57378,57413,57417,57359,57329,57433,
8120, 5119, 156.25, 15.0499, 111, 9, 6, 36336.4366, 57056,57091,57060,57063,57064,57108,57079,57082,57087,
8121, 5110, 322.493, 12.1671, 111, 3, 3, 12227.496, 57265,57556,57559,
8122, 5110, 322.493, 12.1671, 211, 3, 3, 14336.3042, 57560,57675,57651,
8131, 2070, 111.90527, 40.138836, 100, 5, 1, 11956.0644, 56954,56955,56956,56957,56958,
8132, 2071, 112.16899, 41.974728, 100, 2, 1, 10912.1778, 56978,56979,
8133, 2072, 113.29094, 43.970177, 100, 3, 1, 9685.2756, 56979,56980,56981,
8134, 2073, 114.57019, 46.682911, 100, 2, 1, 10270.4399, 56980,56981,
8135, 2074, 114.0826, 38.429726, 100, 2, 1, 10160.0859, 56988,56989,
8136, 2075, 114.58011, 40.820164, 100, 0, 1, 0.0, NOT,OBSERVED
8137, 2076, 115.4713, 42.988098, 100, 1, 1, 8116.0386, 56984,
8138, 2077, 116.62384, 45.193111, 100, 3, 1, 15399.7874, 56960,56958,56959,
8139, 2078, 114.92903, 32.630657, 100, 3, 1, 8468.381, 57688,57689,57690,
8140, 2079, 117.68485, 41.523598, 100, 4, 1, 16374.8592, 56985,56986,57115,56988,
8141, 2080, 118.40391, 43.915756, 100, 2, 1, 7165.8299, 57011,57012,
8142, 2081, 119.44164, 48.905083, 100, 0, 1, 0.0, NOT,OBSERVED
8143, 2082, 120.3147, 42.165077, 100, 3, 1, 9917.009, 57021,57022,57039,
8144, 2083, 114.19039, 28.727533, 100, 6, 1, 11010.6734, 57665,57666,57667,57672,57673,57663,
8145, 2084, 116.12157, 27.480684, 100, 2, 1, 6116.7037, 57336,57338,
8146, 2085, 116.81091, 29.095163, 100, 3, 1, 8263.2321, 57336,57333,57335,
8147, 2086, 117.78418, 26.516016, 100, 3, 1, 6818.4573, 57332,57333,57335,
8148, 2087, 118.35777, 28.028048, 100, 4, 1, 8113.0406, 58041,58042,58043,58046,
8149, 2088, 119.82357, 27.029699, 100, 2, 1, 6709.7391, 57338,57340,
8150, 2089, 148.14616, 32.511368, 100, 1, 1, 6652.41914129, 57835,
8151, 2090, 142.05716, 36.872337, 100, 0, 1, 0.0, NOT,OBSERVED
8152, 2091, 143.10979, 35.242149, 100, 4, 1, 4691.2981, 58104,58108,58101,58102,
8153, 2092, 40.07307, 9.38025e-10, 100, 1, 1, 6119.82, 57663,
8154, 2093, 44.56307, 5.74706e-10, 100, 4, 1, 11774.9246, 57666,57667,57668,57687,
8155, 2094, 53.51307, 0.000854, 100, 1, 1, 8175.8517, 57310,
8156, 2095, 55.44307, -0.007008, 100, 3, 1, 8430.9645, 57306,57307,57308,
8157, 2096, 31.484497, 13.400603, 100, 0, 1, 0.0, NOT,OBSERVED
8158, 2097, 61.722393, -5.622752, 100, 7, 1, 17065.6855, 57667,57672,57428,57429,57430,57431,57432,
8239, 2098, 117.15831, 47.992004, 100, 2, 1, 7517.4803, 57426,57427,
8240, 2100, 125.81657, 43.587269, 100, 0, 1, 0.0, NOT,OBSERVED
8241, 2109, 126.2637, 18.614374, 100, 4, 1, 7597.896, 57432,57474,57429,57430,
8242, 2099, 128.08995, 55.873482, 100, 0, 1, 0.0, NOT,OBSERVED
8243, 2101, 130.11369, 53.267822, 100, 1, 1, 8014.588, 57092,
8244, 2102, 132.29901, 51.54314, 100, 1, 1, 6465.2854, 57046,
8245, 2110, 136.16708, 21.189299, 100, 2, 1, 5184.0287, 58112,58113,
8246, 2106, 136.61269, 14.579184, 100, 0, 1, 0.0, NOT,OBSERVED
8247, 2105, 136.81665, 42.810387, 100, 3, 1, 7962.8337, 57020,57013,57015,
8248, 2107, 137.69981, 16.85033, 100, 2, 1, 5371.2657, 58114,58115,
8249, 2103, 138.04384, 45.275848, 100, 2, 1, 9059.2195, 57040,57041,
8250, 2104, 139.55623, 43.228218, 100, 1, 1, 7481.9498, 56989,
8251, 2108, 141.35942, 20.227518, 100, 0, 1, 0.0, NOT,OBSERVED
8252, 2114, 145.10025, 47.73576, 100, 2, 1, 9298.8289, 57042,57043,
8253, 2113, 158.30002, 42.736076, 100, 3, 1, 8470.2492, 57020,57012,57013,
8254, 2112, 163.08896, 44.396942, 100, 1, 1, 8032.2438, 57122,
8255, 2115, 165.25699, 44.305809, 100, 2, 1, 4933.2988, 57400,57401,
8256, 2111, 165.28032, 42.092697, 100, 3, 1, 11383.9976, 57020,57021,57039,
8257, 2122, 166.56116, 45.546619, 100, 6, 1, 21236.7015, 57048,57067,57043,57071,57047,
8258, 2121, 166.81628, 43.782478, 100, 3, 1, 12439.9195, 57041,57042,
8259, 2120, 179.43164, 44.396317, 100, 4, 1, 10144.9952, 57048,57067,57046,57047,
8260, 2117, 182.31854, 42.920391, 100, 2, 1, 5127.6942, 58254,58255,
8261, 2119, 182.84465, 45.662636, 100, 5, 1, 17872.059, 57096,57105,
